molecule,noise_spectral_norm,trial,lambda_min_S,dF_tilde_norm,dF_loose_norm,loose_over_sharp,delta0_Ha,sin_theta_obs,dk_bound_sharp,dk_bound_loose,dk_sharp_holds,dk_sharp_tightness,deps_obs_Ha,weyl_sharp,weyl_loose,weyl_sharp_holds,weyl_sharp_tightness,s_B
water,1e-05,0,0.03756519597141745,5.2632213429636534e-05,0.000266203855494559,5.057812281644666,0.15150120111621895,2.462679616132253e-05,0.0003475253269868777,0.0017602000880499364,True,14.11167432053876,6.3170134820128565e-06,5.2632213429636534e-05,0.000266203855494559,True,8.331819075501764,1.4013011105099312e-05
water,1e-05,1,0.03756519597141745,4.2539747561126534e-05,0.000266203855494559,6.257767635128613,0.15150120111621895,1.1832169438790878e-05,0.0002808670509610718,0.0017602000880499364,True,23.737578506970184,1.7784315309438137e-06,4.2539747561126534e-05,0.000266203855494559,True,23.919811823483972,7.771923434887676e-06
water,1e-05,2,0.03756519597141745,4.288164113506495e-05,0.000266203855494559,6.2078747092745985,0.15150120111621895,1.3012971719202604e-05,0.0002831250292732802,0.0017602000880499364,True,21.757138598517546,1.8537885012326338e-06,4.288164113506495e-05,0.000266203855494559,True,23.131895092968694,8.13707102290529e-06
water,1e-05,3,0.03756519597141745,4.336771533233776e-05,0.000266203855494559,6.138295583582663,0.15150120111621895,1.510167074883654e-05,0.00028633524168769663,0.0017602000880499364,True,18.96050089092006,9.460051143272974e-06,4.336771533233776e-05,0.000266203855494559,True,4.584300304039737,9.629459649975582e-06
water,1e-05,4,0.03756519597141745,3.8472713172387404e-05,0.000266203855494559,6.919289895198204,0.15150120111621895,1.1441229562282577e-05,0.0002540077917387731,0.0017602000880499364,True,22.20109214276594,7.016347937177647e-06,3.8472713172387404e-05,0.000266203855494559,True,5.483296084638471,8.437136948806496e-06
water,1e-05,5,0.03756519597141745,4.194563329322582e-05,0.000266203855494559,6.346402106594267,0.15150120111621895,1.5436704010636493e-05,0.0002769433479616862,0.0017602000880499364,True,17.94057512347593,6.3079913208974325e-06,4.194563329322582e-05,0.000266203855494559,True,6.649602252030089,9.27199535522123e-06
water,1e-05,6,0.03756519597141745,7.972052257026309e-05,0.000266203855494559,3.3392136292124217,0.15150120111621895,1.7450583124349433e-05,0.0005264809342618919,0.0017602000880499364,True,30.169818997467992,8.803928632561409e-06,7.972052257026309e-05,0.000266203855494559,True,9.055107770344256,1.0620065005207372e-05
water,1e-05,7,0.03756519597141745,5.5072169368226445e-05,0.000266203855494559,4.833727426182411,0.15150120111621895,2.1406828933198065e-05,0.00036364197455026237,0.0017602000880499364,True,16.987194865948613,1.698197508608057e-06,5.5072169368226445e-05,0.000266203855494559,True,32.42977868538204,1.4077142043447365e-05
water,1e-05,8,0.03756519597141745,6.949393556623354e-05,0.000266203855494559,3.8306055532118255,0.15150120111621895,2.3613061036563132e-05,0.00045891271293223756,0.0017602000880499364,True,19.434698119894076,2.7392707980522513e-06,6.949393556623354e-05,0.000266203855494559,True,25.369501845398766,1.335324890238571e-05
water,1e-05,9,0.03756519597141745,5.2125840671854856e-05,0.000266203855494559,5.106946037961834,0.15150120111621895,1.7842073223739703e-05,0.0003441806467092445,0.0017602000880499364,True,19.290395370157782,3.2879388523476827e-06,5.2125840671854856e-05,0.000266203855494559,True,15.853652702402147,1.0474832708849203e-05
water,1e-05,10,0.03756519597141745,6.911905092197417e-05,0.000266203855494559,3.8513818107118722,0.15150120111621895,1.0029499936075707e-05,0.00045643598093150615,0.0017602000880499364,True,45.50934581391484,6.596047712831288e-06,6.911905092197417e-05,0.000266203855494559,True,10.478858542444579,7.267918213273011e-06
water,1e-05,11,0.03756519597141745,7.412304848568519e-05,0.000266203855494559,3.5913775935155834,0.15150120111621895,2.754232458499058e-05,0.0004894966569488318,0.0017602000880499364,True,17.77252517079067,6.598064380858304e-06,7.412304848568519e-05,0.000266203855494559,True,11.23405959795181,1.4970810361272327e-05
water,1e-05,12,0.03756519597141745,7.117090695010769e-05,0.000266203855494559,3.740346539087573,0.15150120111621895,1.8929249525324347e-05,0.00046999202768270603,0.0017602000880499364,True,24.828878031003338,7.672266576302933e-06,7.117090695010769e-05,0.000266203855494559,True,9.276386090380493,1.1490370327663217e-05
