molecule,n_basis,n_occ,k,window,lambda_min_S,cond_S,n_dropped,homo_lumo_gap_eV,homo_pair_split_eV,e_tot
water,24,5,4,3-6,0.03756519597141903,102.16952937367893,0,9.207415876206483,2.0107751586236406,-76.32099273638804
methanol,48,9,4,7-10,0.011473472096711837,440.36269061755496,0,8.594719014215208,1.8112441050550594,-115.56401930443843
ethylene,48,8,4,6-9,0.004047334836284775,1245.4407037511478,0,7.593074674575247,2.274042890406628,-78.47313419326574
formamide,57,12,4,10-13,0.008192935272569856,599.9780558407408,0,7.71563713706743,0.7026730634824736,-169.67601901629223
acetonitrile,57,11,4,9-12,0.0012675873762350285,4114.514778616699,0,9.371166536269728,1.7478978398859632e-07,-132.57024646737213
cyclopropane,72,12,4,10-13,0.003245878131568789,1936.3461588541495,0,9.89170565046626,0.0003596293106303208,-117.72353732507976
pyridine,109,21,4,19-22,0.0007381362136945728,8481.870379496271,0,6.151243795041493,0.37715882113869353,-247.94950756060294
benzene,114,21,4,19-22,0.0003205570382094621,20037.883542128155,0,6.732084112812445,0.00026496394093181993,-231.93007418263832
