id,ckpt,n_atoms,n_heavy,fminus_hat_rho,fminus_hat_top_match,fminus_hat_top_match_tol,fminus_hat_top_rank,fminus_hat_n_top_equiv,fplus_hat_rho,fplus_hat_top_match,fplus_hat_top_match_tol,fplus_hat_top_rank,fplus_hat_n_top_equiv,dual_hat_rho,dual_hat_top_match,dual_hat_top_match_tol,dual_hat_top_rank,dual_hat_n_top_equiv
86464,id,17,9,0.9166666666666666,True,True,0,1,0.11666666666666665,False,False,1,1,0.4666666666666666,True,True,0,1
86494,id,19,9,0.9833333333333333,True,True,0,1,1.0,True,True,0,1,0.9833333333333333,True,True,0,1
86498,id,18,9,0.9833333333333333,True,True,0,1,1.0,True,True,0,1,0.9666666666666667,True,True,0,1
86499,id,19,9,0.9500000000000001,True,True,0,1,0.9833333333333333,True,True,0,1,1.0,True,True,0,1
86508,id,20,9,0.9500000000000001,True,True,0,1,0.9833333333333333,True,True,0,1,0.9666666666666667,True,True,0,1
86512,id,19,9,1.0,True,True,0,1,1.0,True,True,0,1,0.9666666666666667,True,True,0,1
86513,id,18,9,0.9666666666666667,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1
86521,id,17,9,0.9833333333333333,True,True,0,1,1.0,True,True,0,1,0.9333333333333332,True,True,0,1
86526,id,17,9,0.9666666666666667,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1
86528,id,19,9,0.9833333333333333,True,True,0,1,0.9833333333333333,True,True,0,1,1.0,True,True,0,1
86536,id,18,9,0.9833333333333333,True,True,0,2,1.0,True,True,0,1,0.9833333333333333,True,True,0,1
86538,id,17,9,0.9833333333333333,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1
86541,id,18,9,1.0,True,True,0,1,0.9833333333333333,True,True,0,1,1.0,True,True,0,1
86553,id,18,9,0.9833333333333333,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1
86559,id,17,9,1.0,True,True,0,1,1.0,True,True,0,1,0.9833333333333333,True,True,0,1
86570,id,17,9,0.9833333333333333,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,2
86573,id,17,9,0.9833333333333333,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1
