ckpt,features,target,alpha,cov_marg,w_marg,cov_norm,w_norm,cov_mond_flag,w_mond_flag,cov_mond_gap,w_mond_gap,cov_intr_marg,cov_intr_mond,selected,fdp,power
id,spectral,eps_HOMO,0.1,0.90107,1.448915952171895,,,0.90152,1.32256474136805,0.90148,1.2284290798511701,0.6140871397073505,0.8826797603467765,,,
id,spectral,eps_HOMO,0.05,0.9519300000000002,1.943983081131825,,,0.9502900000000001,1.6124684432976748,0.9499600000000001,1.4502395746764702,0.6713501884538571,0.9477442872987458,,,
id,spectral,eps_LUMO,0.1,0.9015699999999999,4.705839451828416,,,0.9002800000000001,3.6553393938998693,0.9020699999999999,3.2621194801753446,0.015888516503193357,0.5318935218163923,,,
id,spectral,eps_LUMO,0.05,0.9494499999999999,41.37587486492203,,,0.95063,5.433522137810955,0.95099,4.664549752601376,0.22143789093300908,0.5730547047062566,,,
id,spectral,gap,0.1,0.9011799999999999,5.934144011821284,,,0.9011800000000001,4.673387705718923,0.9007999999999999,4.123152774304335,0.019769893446177363,0.5312152387069571,,,
id,spectral,gap,0.05,0.9493799999999999,41.7168560381006,,,0.9504699999999998,6.637231813468374,0.9514700000000001,5.59233032266468,0.22054338656237288,0.5769817813339226,,,
id,spectral,sB_HOMO,0.1,0.90144,0.04050469531892302,0.9019600000000001,0.037772544423976234,0.9013100000000002,0.03434510753588394,0.90174,0.034699359409683224,0.42155059991114535,0.7899329452791366,,,
id,spectral,sB_HOMO,0.05,0.95074,0.07018665359641865,0.9500100000000001,0.054658434084122645,0.9512599999999999,0.0468664203389866,0.95138,0.04725099038376647,0.5468471327991427,0.9037891292215908,,,
id,spectral,sB_LUMO,0.1,0.9001500000000002,0.19514686194821315,0.9009699999999998,0.12645065953612683,0.9002399999999999,0.12674234458897973,0.9016,0.1615088184714057,0.0,0.5236645262093736,,,
id,spectral,sB_LUMO,0.05,0.94946,0.9805854525737419,0.9494400000000001,0.552194169844231,0.9500599999999999,0.27061065241526483,0.9507399999999999,0.2873637544234081,0.22020593810687855,0.5592648671027244,,,
id,spectral,FDR,0.002,,,,,,,,,,,0.0,0.0,0.0
id,spectral,FDR,0.005,,,,,,,,,,,0.02793,0.0028981737714909223,0.029542071053208573
id,spectral,FDR,0.01,,,,,,,,,,,0.18933999999999998,0.009074167790001338,0.20056895375155773
id,spectral,FDR,0.02,,,,,,,,,,,0.76542,0.02015461316916928,0.8026066322312557
